50	9992
100	9980
150	9957
200	9944
250	9941
300	9944
350	9920
400	9911
450	9893
500	9858
550	9873
600	9860
650	9875
700	9839
750	9824
800	9821
850	9790
900	9801
950	9781
1000	9789
1050	9766
1100	9742
1150	9706
1200	9730
1250	9728
1300	9678
1350	9703
1400	9695
1450	9680
1500	9664
1550	9653
1600	9643
1650	9618
1700	9616
1750	9598
1800	9626
1850	9600
1900	9568
1950	9573
2000	9566
2050	9521
2100	9531
2150	9523
2200	9510
2250	9480
2300	9483
2350	9491
2400	9471
2450	9450
2500	9431
2550	9412
2600	9453
2650	9414
2700	9385
2750	9378
2800	9372
2850	9392
2900	9371
2950	9382
3000	9323
3050	9378
3100	9283
3150	9333
3200	9247
3250	9274
3300	9228
3350	9258
3400	9295
3450	9209
3500	9232
3550	9242
3600	9232
3650	9237
3700	9214
3750	9145
3800	9169
3850	9120
3900	9169
3950	9129
4000	9131
4050	9102
4100	9121
4150	9104
4200	9067
4250	9072
4300	9090
4350	9028
4400	9022
4450	9039
4500	8989
4550	9033
4600	8977
4650	8961
4700	8975
4750	8986
4800	8926
4850	8955
4900	8977
4950	8917
5000	8898
