50	6
100	16
150	22
200	37
250	37
300	39
350	55
400	55
450	67
500	96
550	79
600	97
650	83
700	115
750	108
800	110
850	144
900	137
950	149
1000	139
1050	159
1100	174
1150	190
1200	177
1250	173
1300	225
1350	188
1400	198
1450	211
1500	225
1550	235
1600	235
1650	253
1700	252
1750	255
1800	251
1850	263
1900	273
1950	287
2000	290
2050	321
2100	301
2150	319
2200	326
2250	356
2300	325
2350	341
2400	349
2450	367
2500	363
2550	380
2600	362
2650	384
2700	406
2750	413
2800	419
2850	382
2900	417
2950	392
3000	433
3050	405
3100	458
3150	419
3200	512
3250	468
3300	491
3350	494
3400	473
3450	521
3500	513
3550	497
3600	500
3650	508
3700	525
3750	547
3800	528
3850	565
3900	550
3950	585
4000	564
4050	592
4100	557
4150	591
4200	628
4250	629
4300	586
4350	649
4400	642
4450	626
4500	667
4550	646
4600	666
4650	672
4700	652
4750	648
4800	691
4850	684
4900	671
4950	693
5000	733
