50	2
100	4
150	21
200	19
250	22
300	17
350	25
400	34
450	40
500	46
550	48
600	43
650	42
700	46
750	68
800	69
850	66
900	62
950	70
1000	72
1050	75
1100	84
1150	104
1200	93
1250	99
1300	97
1350	109
1400	107
1450	109
1500	111
1550	112
1600	122
1650	129
1700	132
1750	147
1800	123
1850	137
1900	159
1950	140
2000	144
2050	158
2100	168
2150	158
2200	164
2250	164
2300	192
2350	168
2400	180
2450	183
2500	206
2550	208
2600	185
2650	202
2700	209
2750	209
2800	209
2850	226
2900	212
2950	226
3000	244
3050	217
3100	259
3150	248
3200	241
3250	258
3300	281
3350	248
3400	232
3450	270
3500	255
3550	261
3600	268
3650	255
3700	261
3750	308
3800	303
3850	315
3900	281
3950	286
4000	305
4050	306
4100	322
4150	305
4200	305
4250	299
4300	324
4350	323
4400	336
4450	335
4500	344
4550	321
4600	357
4650	367
4700	373
4750	366
4800	383
4850	361
4900	352
4950	390
5000	369
