//output of iterative search
// array size - time taken (in seconds)
500	0.13
800	0.17
1100	0.26
1400	0.37
1700	0.42
2000	0.43
2300	0.71
2600	0.68
2900	0.67
3200	0.71
3500	1
3800	1.03
4100	1.05
4400	1.17
4700	1.17
5000	1.23
5300	1.32
5600	1.39
5900	1.46
6200	1.55
6500	1.6
6800	1.69
7100	1.66
7400	1.83
7700	1.87
8000	1.9
8300	1.91
8600	2
8900	2.24
9200	2.48
9500	2.49
9800	2.64
